Rank,title,component_score
1,Interstellar,80.74961456450032
2,Inception,74.32794171239185
3,Deadpool,72.73939247467844
4,Guardians of the Galaxy,71.74142079259092
5,The Dark Knight,71.46119774501399
6,Mad Max: Fury Road,66.48478571347583
7,The Avengers,65.98884530359092
8,Fight Club,65.38669531759597
9,Avatar,65.1780005907077
10,The Shawshank Redemption,63.52280188611711
