movie_id,title,component_score
17130,Crossroads,54.90283740341919
4723,Southland Tales,52.73516303212939
205775,In the Heart of the Sea,50.07127976330157
604,The Matrix Reloaded,49.57887529015939
10185,The Midnight Meat Train,49.34062897804864
3989,Team America: World Police,48.58340018943392
10017,The Wraith,48.43087824415061
82702,How to Train Your Dragon 2,48.38184980662502
5503,The Fugitive,47.44947044806226
36648,Blade: Trinity,47.31959714202182
12589,Jimmy Neutron: Boy Genius,47.312317473427264
62177,Brave,47.21243422586676
13950,All About the Benjamins,46.97417849609358
16608,The Proposition,46.91606532665808
9388,Thank You for Smoking,46.81284639740602
26390,Brooklyn's Finest,46.59557000061777
27022,The Sorcerer's Apprentice,46.476836919998064
277216,Straight Outta Compton,46.43463405605111
2749,15 Minutes,46.3666321712437
58233,Johnny English Reborn,46.30842008889673
1648,Bill & Ted's Excellent Adventure,46.30632033626917
98566,Teenage Mutant Ninja Turtles,46.227301397145816
26672,The Thief and the Cobbler,46.09637326406647
123553,The Mortal Instruments: City of Bones,46.06662538162215
20455,Digimon: The Movie,46.06506887454818
44833,Battleship,45.93873956269266
62764,Mirror Mirror,45.896866817160415
810,Shrek the Third,45.86975410721717
82690,Wreck-It Ralph,45.84549599172091
8961,Bad Boys II,45.838887524996714
5925,The Great Escape,45.80515774810368
8810,Mad Max 2: The Road Warrior,45.68480222949634
616,The Last Samurai,45.657351440430645
11658,Tae Guk Gi: The Brotherhood of War,45.640096104848205
182,The Good German,45.56349234668771
156022,The Equalizer,45.50114230251909
435,The Day After Tomorrow,45.44329089933652
9824,Mystery Men,45.44261492389743
11702,The Replacement Killers,45.44126848704546
98,Gladiator,45.37460008365951
1979,Fantastic 4: Rise of the Silver Surfer,45.28848563567826
101299,The Hunger Games: Catching Fire,45.13633720917967
1894,Star Wars: Episode II - Attack of the Clones,45.09068604604172
9631,The Negotiator,45.05752936296885
1696,The Devil's Rejects,45.056513604207936
817,Austin Powers: The Spy Who Shagged Me,45.041557251355535
9825,Lake Placid,45.02057099070702
8848,The Bank Job,45.00409156924877
2062,Ratatouille,44.98657258321634
755,From Dusk Till Dawn,44.95372461154892
11237,Anacondas: The Hunt for the Blood Orchid,44.894451190701
8741,The Thin Red Line,44.86983791265623
1649,Bill & Ted's Bogus Journey,44.83381680290849
525,The Blues Brothers,44.81848461004676
18126,Hannah Montana: The Movie,44.791343845260215
25769,Carriers,44.74915626210469
9616,The Order,44.74858075766626
2501,The Bourne Identity,44.74812286928203
10388,The Limey,44.73713947532561
11679,xXx: State of the Union,44.73693723423903
2503,The Bourne Ultimatum,44.73462507359018
105,Back to the Future,44.664319278778116
49026,The Dark Knight Rises,44.63813578118098
7341,The Rage: Carrie 2,44.60494236086288
507,Killing Zoe,44.58344306806276
102651,Maleficent,44.56405101300282
14043,Nancy Drew,44.55358277757671
11564,Class of 1984,44.49444097103745
196,Back to the Future Part III,44.487315223068414
10947,High School Musical,44.460146749884665
979,Irreversible,44.45494500117776
11887,High School Musical 3: Senior Year,44.34252355607439
440,Aliens vs Predator: Requiem,44.33698921271137
9946,End of Days,44.3257325769948
812,Aladdin,44.26820029334998
16869,Inglourious Basterds,44.26620867690805
15511,VeggieTales: The Pirates Who Don't Do Anything,44.245829962033866
9837,The Prince of Egypt,44.240533183836874
608,Men in Black II,44.215811179665074
13198,Wristcutters: A Love Story,44.19397087440968
65754,The Girl with the Dragon Tattoo,44.1856112867145
16,Dancer in the Dark,44.18414984121653
76649,Pompeii,44.170640848726826
10776,Little Shop of Horrors,44.169527874848
201,Star Trek: Nemesis,44.16420322199099
12437,Underworld: Rise of the Lycans,44.15108226390094
24266,The Man from Snowy River,44.14352801712937
10191,How to Train Your Dragon,44.13838266521357
71679,Resident Evil: Retribution,44.113000954923024
9702,Bound by Honor,44.0851722926295
14854,Lone Wolf McQuade,44.07850053338298
49010,Hobo with a Shotgun,44.074053563637925
70160,The Hunger Games,44.05964699053729
5172,The Astronaut Farmer,44.050097004129476
165,Back to the Future Part II,44.04270506924307
3482,The Train,44.011799132008825
601,E.T. the Extra-Terrestrial,44.006459218650626
11904,Young Sherlock Holmes,44.00635178245299
1213,The Talented Mr. Ripley,43.96928393048971
10285,Jason Goes to Hell: The Final Friday,43.96605512609448
77174,ParaNorman,43.934432932657224
10991,Pok茅mon: Spell of the Unknown,43.90748562984295
2275,The General's Daughter,43.89767265679677
10530,Pocahontas,43.88872697306325
100402,Captain America: The Winter Soldier,43.884740490839505
10047,The Messenger: The Story of Joan of Arc,43.87884300760946
8883,Flame & Citron,43.8697388522822
113947,The Sessions,43.85282305114228
76341,Mad Max: Fury Road,43.82994978973865
1593,Night at the Museum,43.82955875133352
19405,Recess: School's Out,43.77773673481913
8007,Behind Enemy Lines,43.728163407516405
10212,Ravenous,43.64007361147659
155,The Dark Knight,43.6327645801876
7453,The Hitchhiker's Guide to the Galaxy,43.62850617193661
9093,The Four Feathers,43.58110921881244
58431,Pride and Prejudice and Zombies,43.56199301365466
309919,The Curse of Downers Grove,43.555716776428106
9502,Kung Fu Panda,43.55248817224698
36819,Time Bandits,43.54082119738777
