movie_id,title,component_score
157336,Interstellar,80.74961456450032
27205,Inception,74.32794171239185
293660,Deadpool,72.73939247467844
118340,Guardians of the Galaxy,71.74142079259092
155,The Dark Knight,71.46119774501399
76341,Mad Max: Fury Road,66.48478571347583
24428,The Avengers,65.98884530359092
550,Fight Club,65.38669531759597
19995,Avatar,65.1780005907077
278,The Shawshank Redemption,63.52280188611711
68718,Django Unchained,62.906798336230615
680,Pulp Fiction,62.660145028612
120,The Lord of the Rings: The Fellowship of the Ring,62.143289092550816
211672,Minions,61.9716404886562
13,Forrest Gump,61.44799451984123
603,The Matrix,61.31327377654288
135397,Jurassic World,60.96028783274402
122,The Lord of the Rings: The Return of the King,60.915583102813486
49026,The Dark Knight Rises,60.4301957365168
22,Pirates of the Caribbean: The Curse of the Black Pearl,58.95017957586133
1726,Iron Man,58.90244943465427
121,The Lord of the Rings: The Two Towers,58.77504540680414
238,The Godfather,58.137054842194324
11,Star Wars,57.83734249501331
286217,The Martian,57.69106555593817
150540,Inside Out,57.24940111488418
177572,Big Hero 6,57.03720680372507
70160,The Hunger Games,56.691923588769924
597,Titanic,56.281297965573366
272,Batman Begins,56.181405448657785
106646,The Wolf of Wall Street,56.00481040573215
271110,Captain America: Civil War,55.82746368314119
205596,The Imitation Game,55.80514280490922
1891,The Empire Strikes Back,55.618545376836956
14160,Up,55.592985244488126
49051,The Hobbit: An Unexpected Journey,55.58625228098579
210577,Gone Girl,55.55530843852073
671,Harry Potter and the Philosopher's Stone,55.29585412061271
16869,Inglourious Basterds,55.18528521645747
244786,Whiplash,55.177842304212156
105,Back to the Future,55.01111238827859
68721,Iron Man 3,54.984708256325554
807,Se7en,54.89410564028792
11324,Shutter Island,54.693082379504865
99861,Avengers: Age of Ultron,54.329418233733286
10681,WALL路E,54.251224001503516
8587,The Lion King,53.793984812940835
98,Gladiator,53.54205238331464
127585,X-Men: Days of Future Past,53.35596292457249
424,Schindler's List,53.330002832087686
12,Finding Nemo,53.31244890365596
37724,Skyfall,53.212549693244036
673,Harry Potter and the Prisoner of Azkaban,53.14071951089778
585,"Monsters, Inc.",53.02015647457977
101299,The Hunger Games: Catching Fire,52.911921450722254
281957,The Revenant,52.751601160183256
672,Harry Potter and the Chamber of Secrets,52.70965242328427
129,Spirited Away,52.59443941658599
857,Saving Private Ryan,52.24916228451565
20352,Despicable Me,52.232509661573644
100402,Captain America: The Winter Soldier,52.2239382091995
497,The Green Mile,52.199382414683846
674,Harry Potter and the Goblet of Fire,52.04661563843167
109445,Frozen,51.822835418251444
119450,Dawn of the Planet of the Apes,51.68910199861466
862,Toy Story,51.676420773293785
49047,Gravity,51.56193691686769
120467,The Grand Budapest Hotel,51.55804357910788
348,Alien,51.402671828492885
18785,The Hangover,51.34428097940521
1124,The Prestige,51.27934258885099
240,The Godfather: Part II,51.19836875332896
24,Kill Bill: Vol. 1,51.11800818603005
