rank,movie_id,title,content_score,content_normalized,rating_score,rating_normalized,business_score,business_normalized,time_score,time_normalized,final_score
1,157336,Interstellar,40.39496909360231,0.7197792409505582,80.74961456450032,1.0,69.17,0.7274926377787126,40.37,0.7995642701525054,80.33
2,105,Back to the Future,44.66431927877812,0.8022421172318595,55.01111238827859,0.6812554175640975,77.72,0.8174169120740429,49.0,0.9704892057833234,80.03
3,155,The Dark Knight,43.6327645801876,0.782317547028499,71.46119774501399,0.8849726172740178,64.82,0.6817416912074042,43.01,0.8518518518518517,79.83
4,601,E.T. the Extra-Terrestrial,44.00645921865063,0.7895354920088764,44.91289318543591,0.5561994744824555,92.43,0.9721287336979386,49.17,0.9738562091503268,79.54
5,11,Star Wars,38.84840073367512,0.6899071363459557,57.83734249501331,0.7162553382693191,92.39,0.9717080353386622,48.17,0.9540503069914834,79.25
6,293660,Deadpool,36.62103431701878,0.6468853570860533,72.73939247467844,0.9008017297293281,74.48,0.7833403449726547,50.05,0.9912854030501088,78.93
7,1891,The Empire Strikes Back,41.59601315441071,0.7429775131697662,55.61854537683696,0.6887778434212906,82.92,0.8721076987799747,47.67,0.9441473559120618,78.54
8,76341,Mad Max: Fury Road,43.82994978973865,0.7861261967841857,66.48478571347583,0.8233449295336241,56.28,0.5919225915018932,48.6,0.9625668449197861,78.31
9,150540,Inside Out,43.07265626696028,0.7714990054391563,57.24940111488418,0.7089742957120261,71.29,0.7497896508203619,47.61,0.9429590017825311,77.72
10,13,Forrest Gump,41.55307263081681,0.7421481131601644,61.44799451984123,0.7609695086625888,73.22,0.770088346655448,44.67,0.8847296494355318,77.38
11,27205,Inception,39.18115151316724,0.6963342470704499,74.32794171239185,0.920474260010504,64.3,0.676272612536811,43.69,0.8653198653198653,77.37
12,70160,The Hunger Games,44.05964699053729,0.7905628185252153,56.69192358876992,0.7020705163055131,70.07,0.7369583508624316,44.72,0.8857199445434739,77.2
13,82702,How to Train Your Dragon 2,48.38184980662502,0.8740465480452985,47.06482461847961,0.5828489073577642,61.75,0.6494530921329407,48.83,0.96712220241632,77.03
14,2062,Ratatouille,44.98657258321634,0.8084664682976026,48.53117834740503,0.6010081733410605,69.19,0.7277029869583509,49.84,0.9871261635967519,76.72
15,98,Gladiator,45.37460008365951,0.8159612537742991,53.54205238331464,0.6630626371664832,69.31,0.72896508203618,42.5,0.8417508417508417,76.42
16,62177,Brave,47.21243422586676,0.8514591827145429,46.48220405552256,0.5756337575877095,65.63,0.6902608329827513,47.23,0.9354327589621706,76.29
17,812,Aladdin,44.26820029334998,0.7945910440073073,46.5758990390052,0.576794072519093,76.97,0.8095288178376104,46.67,0.9243414537532184,76.26
18,49026,The Dark Knight Rises,44.63813578118098,0.8017363806608792,60.4301957365168,0.7483651292012918,62.59,0.6582877576777451,40.9,0.8100613982966923,76.1
19,120,The Lord of the Rings: The Fellowship of the Ring,42.4862750698348,0.7601730007745263,62.143289092550816,0.7695800088669483,70.55,0.7420067311737484,38.67,0.7658942364824718,75.98
20,101299,The Hunger Games: Catching Fire,45.13633720917967,0.8113591852888232,52.911921450722254,0.6552591208773861,66.69,0.701409339503576,44.13,0.8740344622697565,75.97
21,604,The Matrix Reloaded,49.57887529015939,0.8971672010891748,42.62779698329038,0.527900934427874,63.64,0.6693310896087505,45.33,0.8978015448603683,75.94
22,597,Titanic,43.09435963955029,0.7719182079995345,56.281297965573366,0.6969853449965088,77.88,0.8190997055111485,36.0,0.7130124777183601,75.38
23,135397,Jurassic World,38.37536830492733,0.6807704731637421,60.96028783274402,0.7549297685384097,71.35,0.7504206983592764,47.94,0.9494949494949494,75.35
24,277216,Straight Outta Compton,46.43463405605111,0.8364359036689891,42.86670683724343,0.5308595845123547,72.83,0.7659865376525031,44.14,0.8742325212913448,75.16
25,19995,Avatar,38.48531546560907,0.682894112292774,65.1780005907077,0.8071617547925941,73.04,0.7681952040387043,41.35,0.8189740542681719,75.14
26,22,Pirates of the Caribbean: The Curse of the Black Pearl,42.36796452987549,0.7578878222353392,58.95017957586133,0.7300366682094034,62.93,0.6618636937315945,44.5,0.8813626460685284,75.02
27,165,Back to the Future Part II,44.04270506924307,0.7902355838175766,46.34305769288669,0.5739105745931365,67.69,0.7119267984854859,49.67,0.9837591602297484,74.95
28,9552,The Exorcist,39.88250467067981,0.7098809453146647,42.96083613409786,0.5320252779631791,89.74,0.9438367690366007,48.0,0.9506833036244801,74.83
29,5503,The Fugitive,47.44947044806226,0.856037558302698,39.91509641093338,0.4943069589397287,67.98,0.7149768615902399,46.67,0.9243414537532184,74.76
