id,title,runtime_num,release_date
44865,"In Martial Arts there is no right or wrong, only the last man standing.",64076736.0,"[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""HK"", ""name"": ""Hong Kong""}]"
4550,All she wanted was a peaceful life... they didn't give it.,23803308.0,"[{""iso_3166_1"": ""KR"", ""name"": ""South Korea""}]"
36095,Madness. Terror. Murder.,99000.0,"[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}]"
